run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,snapshot,1000,1000,1000,2000,0,0,79573097,12567.1,75607,87886,119627,200201000
2,snapshot,1000,1000,1000,2000,0,0,90638097,11032.9,76264,144630,214368,200201000
3,snapshot,1000,1000,1000,2000,0,0,94438708,10588.9,75488,192866,278148,200201000
4,snapshot,1000,1000,1000,2000,0,0,88251644,11331.2,81608,127230,147521,200201000
5,snapshot,1000,1000,1000,2000,0,0,76310499,13104.4,74220,83137,105927,200201000
6,snapshot,1000,1000,1000,2000,0,0,87776124,11392.6,77947,125815,171712,200201000
7,snapshot,1000,1000,1000,2000,0,0,82692407,12093,77413,121078,139032,200201000
