run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,323127504,6.18951e+06,161.564,1980000,615519,918717,1571178
2,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,303723361,6.58494e+06,151.862,1980000,584662,804792,1153912
3,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,306930833,6.51613e+06,153.465,1980000,588912,834318,1349947
4,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,248101936,8.0612e+06,124.051,1980000,484605,659954,883976
5,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,302839291,6.60416e+06,151.42,1980000,572284,819306,1361521
6,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,245671880,8.14094e+06,122.836,1980000,475352,638698,1264526
7,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,264049440,7.57434e+06,132.025,1980000,507220,691120,1589357
