run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,500,50000,1000,12,0,0,9560307,5.22996e+06,138,201,243,10010200000
2,delta-mixed,500,50000,1000,12,0,0,8802488,5.68021e+06,133,137,154,10010200000
3,delta-mixed,500,50000,1000,12,0,0,10777709,4.6392e+06,133,238,252,10010200000
4,delta-mixed,500,50000,1000,12,0,0,9184136,5.44417e+06,128,194,254,10010200000
5,delta-mixed,500,50000,1000,12,0,0,8685760,5.75655e+06,127,133,225,10010200000
6,delta-mixed,500,50000,1000,12,0,0,7804672,6.40642e+06,126,130,139,10010200000
7,delta-mixed,500,50000,1000,12,0,0,7589979,6.58763e+06,123,126,128,10010200000
