run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,1927,5685,398,3657,74,1091,2022,7203
1,bounded,19980,943,2989,0,0,67,1139,1053,4251
2,direct-topic,19980,1909,5712,395,3568,71,996,2003,6823
2,bounded,19980,849,2754,0,0,60,767,921,3581
3,direct-topic,19980,1868,5432,394,3350,73,976,1969,6541
3,bounded,19980,808,2643,0,0,57,838,868,3554
4,direct-topic,19980,1660,4686,325,3080,63,792,1738,5684
4,bounded,19980,760,2523,0,0,55,904,820,3590
5,direct-topic,19980,1561,4509,304,2877,58,681,1634,5239
5,bounded,19980,721,2455,0,0,52,871,777,3370
6,direct-topic,19980,1483,4339,299,2782,56,724,1555,5233
6,bounded,19980,688,2218,0,0,49,674,739,3023
7,direct-topic,19980,1455,4220,286,2697,55,722,1524,5058
7,bounded,19980,660,2179,0,0,47,619,709,2880
8,direct-topic,19980,1436,4188,294,2687,55,813,1505,5132
8,bounded,19980,667,2264,0,0,48,786,718,3164
9,direct-topic,19980,1412,4044,265,2629,54,710,1477,4916
9,bounded,19980,661,2152,0,0,47,676,710,2880
10,direct-topic,19980,1374,3982,271,2583,53,727,1441,4812
10,bounded,19980,672,2108,0,0,48,619,734,2810
11,direct-topic,19980,1341,3770,254,2466,51,720,1406,4676
11,bounded,19980,626,2009,0,0,45,589,673,2688
12,direct-topic,19980,1345,3826,253,2486,51,665,1410,4626
12,bounded,19980,658,2212,0,0,47,738,716,3046
13,direct-topic,19980,1622,4603,321,2795,61,1043,1743,5927
13,bounded,19980,704,2311,0,0,50,677,756,3077
14,direct-topic,19980,1641,4821,338,2970,60,1004,1740,6033
14,bounded,19980,729,2353,0,0,52,695,782,3177
15,direct-topic,19980,1841,5377,385,3398,72,1102,1935,6732
15,bounded,19980,835,2718,0,0,59,838,896,3757
