run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,524141462,3.81576e+06,262.071,1980000,910896,2065676,3114596
2,2000000,42,4096,20000,pre-push,579084158,3.45373e+06,289.542,1980000,990375,1988972,3088970
3,2000000,42,4096,20000,pre-push,628092902,3.18424e+06,314.046,1980000,1073835,2259503,3772134
4,2000000,42,4096,20000,pre-push,738883158,2.70679e+06,369.442,1980000,1193946,2658238,3891290
5,2000000,42,4096,20000,pre-push,555873373,3.59794e+06,277.937,1980000,1012748,1984107,2785975
6,2000000,42,4096,20000,pre-push,500481205,3.99615e+06,250.241,1980000,896587,1734448,2884074
7,2000000,42,4096,20000,pre-push,721631340,2.7715e+06,360.816,1980000,1201261,2678853,4179459
