run,variant,type,frames,decode_p50_ns,decode_p95_ns,decode_p99_ns,envelope_p50_ns,bids_p50_ns,asks_p50_ns,apply_p50_ns,apply_p95_ns,apply_p99_ns,total_p50_ns,total_p95_ns,total_p99_ns,vector_capacity_growths
1,baseline,snapshot,20,227192,251445,252976,72249,57523,97787,126562,149956,200056,353683,381155,447009,0
1,baseline,delta,360,1159,1837,1978,619,97,283,173,537,804,1332,2348,2771,0
2,reuse,snapshot,20,227822,258509,269144,72342,57544,97796,17280,18917,21300,245156,277426,287681,0
2,reuse,delta,360,1148,1785,2042,619,97,265,154,424,609,1307,2205,2523,0
3,reuse,snapshot,20,229367,271762,326005,72554,58108,98602,17869,20532,21741,247030,292294,345966,0
3,reuse,delta,360,1156,1781,2113,621,98,274,157,416,628,1325,2199,2579,0
4,baseline,snapshot,20,228678,256295,300347,72535,57985,98053,125866,216929,1162183,359990,443883,1389934,0
4,baseline,delta,360,1167,1909,2601,623,98,279,180,611,1099,1352,2542,3472,0
5,baseline,snapshot,20,228154,254921,273790,72427,57660,97803,124586,145160,189496,352514,418950,429360,0
5,baseline,delta,360,1165,1770,2468,621,98,278,173,540,822,1333,2429,3047,0
6,reuse,snapshot,20,239854,297068,336122,75858,60586,103135,19329,23707,32193,258897,319165,359829,0
6,reuse,delta,360,1215,1860,2026,651,103,288,173,489,752,1397,2305,2834,0
7,reuse,snapshot,20,239115,254851,271344,76037,60376,102393,18388,22512,37365,257503,274566,291100,0
7,reuse,delta,360,1205,1903,2262,647,102,276,162,433,635,1369,2286,2870,0
8,baseline,snapshot,20,227236,263336,370791,72181,57473,97359,123442,139284,155916,349778,386778,526707,0
8,baseline,delta,360,1161,1844,2203,621,98,286,171,545,725,1339,2366,2846,0
9,baseline,snapshot,20,228488,257193,265251,72051,58226,97742,125889,149197,206177,356224,414114,433697,0
9,baseline,delta,360,1164,1795,2508,619,98,285,173,516,786,1334,2337,3092,0
10,reuse,snapshot,20,228333,249927,256447,72613,57603,97821,17432,19529,21604,245765,268770,275976,0
10,reuse,delta,360,1162,1796,1991,622,98,273,162,450,692,1336,2159,2631,0
11,reuse,snapshot,20,228324,264868,297618,72618,57654,97746,18036,21070,28244,246983,284499,318209,0
11,reuse,delta,360,1158,1804,2154,623,98,273,162,400,575,1326,2176,2693,0
12,baseline,snapshot,20,228689,299764,304643,72320,57811,98050,124717,148579,150468,357604,445975,448343,0
12,baseline,delta,360,1171,1796,2175,621,97,281,169,521,791,1333,2325,2868,0
13,baseline,snapshot,20,229645,247404,254598,72225,57968,98895,125758,170509,263880,355477,398107,498560,0
13,baseline,delta,360,1148,1800,2167,618,97,275,169,522,713,1315,2340,2984,0
14,reuse,snapshot,20,227818,247618,249879,72441,57545,97998,16993,62788,91947,244604,289292,333302,0
14,reuse,delta,360,1160,1773,2275,619,98,272,160,457,648,1322,2218,2989,0
