run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,pause,482430963,4.14567e+06,241.215,1980000,921000,1510583,2443487
2,2000000,42,4096,20000,pre-push,pause,404896399,4.93954e+06,202.448,1980000,766952,1354837,2156996
3,2000000,42,4096,20000,pre-push,pause,433733280,4.61113e+06,216.867,1980000,794130,1478990,2317747
4,2000000,42,4096,20000,pre-push,pause,537428294,3.72143e+06,268.714,1980000,970125,1584938,2475110
5,2000000,42,4096,20000,pre-push,pause,399349569,5.00814e+06,199.675,1980000,752636,1192410,2148407
6,2000000,42,4096,20000,pre-push,pause,381321889,5.24491e+06,190.661,1980000,723583,1232940,2319754
7,2000000,42,4096,20000,pre-push,pause,432460167,4.6247e+06,216.23,1980000,806238,1360804,2417235
