run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,382814348,5.22446e+06,191.407,1980000,706447,1222907,1748462
2,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,472389100,4.2338e+06,236.195,1980000,857946,1563321,2215194
3,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,388075969,5.15363e+06,194.038,1980000,731404,1260793,1870988
4,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,399756404,5.00305e+06,199.878,1980000,746480,1248274,1736545
5,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,394111114,5.07471e+06,197.056,1980000,753640,1231395,1920953
6,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,505280337,3.9582e+06,252.64,1980000,919385,1657723,2996202
7,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,374710040,5.33746e+06,187.355,1980000,706407,1081658,1889542
