run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,383190239,5.21934e+06,191.595,1980000,706905,1152200,1699581
2,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,383121978,5.22027e+06,191.561,1980000,698697,1303956,1886337
3,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,369692065,5.40991e+06,184.846,1980000,670568,1147238,1635856
4,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,318562107,6.27821e+06,159.281,1980000,586615,978384,1512803
5,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,281853059,7.0959e+06,140.927,1980000,524540,801827,1373784
6,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,278968028,7.16928e+06,139.484,1980000,528069,790406,1287995
7,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,280805471,7.12237e+06,140.403,1980000,522178,826881,1201122
