run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,414561729,4.82437e+06,207.281,1980000,742989,1323810,1857617
2,2000000,42,4096,20000,pre-push,yield,393601881,5.08128e+06,196.801,1980000,690026,1334186,1916497
3,2000000,42,4096,20000,pre-push,yield,393772129,5.07908e+06,196.886,1980000,697063,1372945,2005794
4,2000000,42,4096,20000,pre-push,yield,414321954,4.82716e+06,207.161,1980000,763734,1296216,1815276
5,2000000,42,4096,20000,pre-push,yield,330447826,6.05239e+06,165.224,1980000,589015,1117457,1729462
6,2000000,42,4096,20000,pre-push,yield,299035872,6.68816e+06,149.518,1980000,564162,851760,1391895
7,2000000,42,4096,20000,pre-push,yield,356268601,5.61374e+06,178.134,1980000,680619,1103998,1712204
