run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,621384452,3.21862e+06,310.692,1980000,1024724,2124113,2938682
2,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,516805032,3.86993e+06,258.403,1980000,893907,1969435,2478927
3,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,588912287,3.39609e+06,294.456,1980000,1007998,2024051,3171995
4,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,586169249,3.41198e+06,293.085,1980000,1043637,2107884,2905436
5,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,589769556,3.39116e+06,294.885,1980000,982953,1898505,2677126
6,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,580521908,3.44518e+06,290.261,1980000,1014893,2152393,2811962
7,2000000,42,4096,131072,20000,pre-push,yield,0,2,0,0,2,2,547284958,3.6544e+06,273.642,1980000,907231,2073211,3060692
