run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,287085325,6.96657e+06,143.543,1980000,547307,787463,1333777
2,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,269592413,7.41861e+06,134.796,1980000,529235,697935,1082042
3,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,273093956,7.32349e+06,136.547,1980000,499473,782551,1039223
4,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,239109803,8.36436e+06,119.555,1980000,461935,620947,1108350
5,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,304852728,6.56054e+06,152.426,1980000,589431,890602,1292046
6,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,256547025,7.79584e+06,128.274,1980000,472117,703697,1041400
7,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,292790301,6.83083e+06,146.395,1980000,579123,727575,1225050
