run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,1000,stod-copy,dom,direct,574742,1460264,245343,569794,328152,898552,1161678,2707053
1,1000,fixed-ref,sax,direct,446451,1046730,0,0,127378,318734,576176,1579584
1,1000,stod-ref,dom,direct,544869,1543541,222074,513039,313148,729466,1078934,2417909
1,1000,fixed-ref,dom,direct,468663,1270597,51348,115180,267762,712799,790169,2160262
1,1000,fixed-ref,sax,copy,349245,1021079,0,0,98030,206773,449211,1148566
2,1000,stod-copy,dom,direct,463688,1870705,196211,480488,263354,575783,925647,2669963
2,1000,fixed-ref,sax,direct,349538,1023728,0,0,99265,245375,449158,1474070
2,1000,stod-ref,dom,direct,474738,1172356,205678,345748,272617,603266,956294,2352697
2,1000,fixed-ref,dom,direct,500051,1408898,54317,95630,286206,826272,844658,2054673
2,1000,fixed-ref,sax,copy,319179,916016,0,0,89035,159795,408872,1240936
3,1000,stod-copy,dom,direct,440622,1426564,190760,523291,254967,765823,881995,2139063
3,1000,fixed-ref,sax,direct,322104,1236018,0,0,91013,213816,414228,1541495
3,1000,stod-ref,dom,direct,431857,995423,181058,497098,246976,980580,861795,2148201
3,1000,fixed-ref,dom,direct,426600,1325913,46086,95220,242533,512108,718449,1731226
3,1000,fixed-ref,sax,copy,343124,914540,0,0,94878,227479,439271,1411623
4,1000,stod-copy,dom,direct,434364,1177569,185711,556237,247720,813482,871275,2045856
4,1000,fixed-ref,sax,direct,310000,533359,0,0,87914,236462,398470,1236610
4,1000,stod-ref,dom,direct,411173,975579,172201,279432,232411,685007,820058,1930901
4,1000,fixed-ref,dom,direct,471215,1669527,51412,109380,268332,608014,795032,2318277
4,1000,fixed-ref,sax,copy,321859,849158,0,0,90583,159792,413165,993678
5,1000,stod-copy,dom,direct,421958,1226123,181330,817838,241097,844006,845881,2247565
5,1000,fixed-ref,sax,direct,370679,1178415,0,0,104300,191329,476339,1356411
5,1000,stod-ref,dom,direct,468167,1615713,196135,669026,266304,772444,937722,2302016
5,1000,fixed-ref,dom,direct,449853,1391601,48257,105048,254972,605126,756499,1869213
5,1000,fixed-ref,sax,copy,349836,933687,0,0,99784,174327,450368,1274644
6,1000,stod-copy,dom,direct,459579,1117582,195963,370533,262298,1012655,922776,1954511
6,1000,fixed-ref,sax,direct,305066,945039,0,0,86540,280162,392121,1147055
6,1000,stod-ref,dom,direct,462389,1583633,190897,487264,267509,1006826,928186,2467548
6,1000,fixed-ref,dom,direct,424820,1169172,45686,101456,241604,731084,716974,1848181
6,1000,fixed-ref,sax,copy,317721,1176410,0,0,89461,228230,406394,1416447
7,1000,stod-copy,dom,direct,437149,1384115,186809,481383,249881,542503,877635,2312720
7,1000,fixed-ref,sax,direct,319574,740939,0,0,89860,174436,409283,926817
7,1000,stod-ref,dom,direct,424210,1100402,175498,428585,241737,757734,843657,2271494
7,1000,fixed-ref,dom,direct,420954,1135249,44151,95212,236898,451613,704266,1692992
7,1000,fixed-ref,sax,copy,330945,969500,0,0,91935,169403,423497,1085964
8,1000,stod-copy,dom,direct,455336,1263876,197689,622699,259785,731182,909891,2149427
8,1000,fixed-ref,sax,direct,314699,1014140,0,0,88548,150768,404287,1212029
8,1000,stod-ref,dom,direct,473021,1151232,195805,502846,269447,984536,942585,1915497
8,1000,fixed-ref,dom,direct,459107,1309289,49291,80238,260378,497893,772440,1724066
8,1000,fixed-ref,sax,copy,320010,945398,0,0,89827,160680,410714,1053733
9,1000,stod-copy,dom,direct,467030,977651,199486,634843,266404,723470,936076,2078638
9,1000,fixed-ref,sax,direct,312675,987598,0,0,88450,148988,402208,1257708
9,1000,stod-ref,dom,direct,464930,1229435,192939,398652,268344,619063,927518,2099498
9,1000,fixed-ref,dom,direct,450986,922249,49320,82000,256257,639722,758490,1712216
9,1000,fixed-ref,sax,copy,332699,690230,0,0,93624,167241,427090,845272
10,1000,stod-copy,dom,direct,424971,888576,182660,481461,240926,762798,850385,2266700
10,1000,fixed-ref,sax,direct,348307,805099,0,0,97937,228905,447230,1377485
10,1000,stod-ref,dom,direct,479140,1415027,196512,426628,272629,740775,954896,2204170
10,1000,fixed-ref,dom,direct,470799,1344352,49987,141316,267523,723896,790247,2400588
10,1000,fixed-ref,sax,copy,319076,812409,0,0,88718,236164,409248,1170349
11,1000,stod-copy,dom,direct,476646,1062139,201020,392973,270136,873000,956838,2283823
11,1000,fixed-ref,sax,direct,307885,802128,0,0,86458,122798,394473,1101426
11,1000,stod-ref,dom,direct,469001,1410369,194623,426178,269981,657806,942203,2015417
11,1000,fixed-ref,dom,direct,430753,840009,46622,78192,243739,914754,723836,1758088
11,1000,fixed-ref,sax,copy,297950,910339,0,0,83066,182532,382212,1439405
12,1000,stod-copy,dom,direct,467589,1445883,198582,425609,265040,733325,936885,2349148
12,1000,fixed-ref,sax,direct,321236,716604,0,0,91333,130140,413277,825823
12,1000,stod-ref,dom,direct,471147,1140989,204307,459577,269708,1258955,950125,2392472
12,1000,fixed-ref,dom,direct,489008,1248438,52596,125699,281716,1039146,822628,2093089
12,1000,fixed-ref,sax,copy,423022,1108686,0,0,119385,230760,543756,1369038
13,1000,stod-copy,dom,direct,531345,1460731,225976,743576,303194,1177101,1073230,2495377
13,1000,fixed-ref,sax,direct,312139,585970,0,0,87867,150641,400675,1446010
13,1000,stod-ref,dom,direct,483276,980661,201495,389972,275325,699281,963429,2496832
13,1000,fixed-ref,dom,direct,452747,1294412,49423,101403,256964,638726,762850,1950943
13,1000,fixed-ref,sax,copy,365134,968963,0,0,102041,439925,468321,1446470
14,1000,stod-copy,dom,direct,472730,1309229,201290,306048,270072,484242,949889,2480164
14,1000,fixed-ref,sax,direct,305209,555417,0,0,86472,149192,391871,1052561
