run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,583086299,3.43002e+06,291.543,1980000,984425,2163064,3270647
2,2000000,42,4096,20000,pre-push,860321190,2.32471e+06,430.161,1980000,1506433,2945634,4609798
3,2000000,42,4096,20000,pre-push,575494594,3.47527e+06,287.747,1980000,992503,1945466,2609438
4,2000000,42,4096,20000,pre-push,538720531,3.7125e+06,269.36,1980000,966679,1885888,2869545
5,2000000,42,4096,20000,pre-push,562147006,3.55779e+06,281.074,1980000,978200,1968241,2943780
6,2000000,42,4096,20000,pre-push,578909731,3.45477e+06,289.455,1980000,1028000,1899478,2566076
7,2000000,42,4096,20000,pre-push,528980526,3.78086e+06,264.49,1980000,937950,1824066,2776040
