run,variant,frames,decode_p50_ns,decode_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,1812,5798,73,1068,1910,6874
1,copy-topic,19980,1892,6964,84,1271,2011,8225
2,direct-topic,19980,1805,5251,71,955,1903,6401
2,copy-topic,19980,1990,8017,92,1449,2113,9520
3,direct-topic,19980,1764,6097,77,1147,1862,7190
3,copy-topic,19980,1811,6879,83,1193,1913,7888
4,direct-topic,19980,2124,10400,96,1706,2284,12302
4,copy-topic,19980,1996,5793,82,1384,2138,7295
5,direct-topic,19980,1838,7437,78,1255,1948,8475
5,copy-topic,19980,1807,6132,73,964,1898,7155
6,direct-topic,19980,1736,5045,68,956,1821,6126
6,copy-topic,19980,1868,6326,76,1107,1969,7512
7,direct-topic,19980,1783,5537,75,1086,1876,6755
7,copy-topic,19980,1869,6331,79,1028,1980,7477
8,direct-topic,19980,1861,7524,81,1166,1963,8512
8,copy-topic,19980,1881,6711,81,1329,2001,7903
9,direct-topic,19980,1786,5344,73,1010,1885,6525
9,copy-topic,19980,1804,5205,73,1114,1903,6502
10,direct-topic,19980,1937,6327,84,1251,2044,7516
10,copy-topic,19980,1877,7066,80,1209,1978,8093
11,direct-topic,19980,2345,11296,103,1928,2502,13622
11,copy-topic,19980,1884,6335,75,1174,1978,7457
12,direct-topic,19980,1832,6207,78,1136,1937,7240
12,copy-topic,19980,1870,6005,76,1171,1973,7242
13,direct-topic,19980,1775,5402,70,1027,1870,6585
13,copy-topic,19980,1839,6348,75,1149,1934,7565
14,direct-topic,19980,1895,5522,77,1231,2013,6953
14,copy-topic,19980,1956,7098,84,1553,2086,8573
15,direct-topic,19980,1955,7649,87,1535,2096,9246
15,copy-topic,19980,1864,10976,79,1585,1980,14108
