run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,10,50000,1000,12,0,0,5598280,8.93131e+06,78,97,124,10010200000
2,delta-mixed,10,50000,1000,12,0,0,5070222,9.8615e+06,77,80,81,10010200000
3,delta-mixed,10,50000,1000,12,0,0,5047712,9.90548e+06,77,80,82,10010200000
4,delta-mixed,10,50000,1000,12,0,0,4741248,1.05457e+07,71,79,82,10010200000
5,delta-mixed,10,50000,1000,12,0,0,5453869,9.1678e+06,73,86,115,10010200000
6,delta-mixed,10,50000,1000,12,0,0,5050828,9.89937e+06,77,80,81,10010200000
7,delta-mixed,10,50000,1000,12,0,0,5201668,9.6123e+06,79,82,84,10010200000
