run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,50,50000,1000,12,0,0,6810181,7.34195e+06,106,110,120,10010200000
2,delta-mixed,50,50000,1000,12,0,0,13778962,3.62872e+06,197,219,236,10010200000
3,delta-mixed,50,50000,1000,12,0,0,7116045,7.02637e+06,111,116,146,10010200000
4,delta-mixed,50,50000,1000,12,0,0,7431707,6.72793e+06,107,155,202,10010200000
5,delta-mixed,50,50000,1000,12,0,0,7181592,6.96224e+06,107,113,195,10010200000
6,delta-mixed,50,50000,1000,12,0,0,6919728,7.22572e+06,108,111,114,10010200000
7,delta-mixed,50,50000,1000,12,0,0,7680294,6.51017e+06,110,124,167,10010200000
