run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,284089443,7.04004e+06,142.045,1980000,525550,874808,1377648
2,2000000,42,4096,20000,pre-push,yield,365230126,5.476e+06,182.615,1980000,660312,1323498,1957887
3,2000000,42,4096,20000,pre-push,yield,303868205,6.5818e+06,151.934,1980000,564079,888214,1452465
4,2000000,42,4096,20000,pre-push,yield,352935412,5.66676e+06,176.468,1980000,676307,1026829,1497311
5,2000000,42,4096,20000,pre-push,yield,360858517,5.54234e+06,180.429,1980000,672418,1131849,1736685
6,2000000,42,4096,20000,pre-push,yield,341306014,5.85984e+06,170.653,1980000,649003,972035,1356159
7,2000000,42,4096,20000,pre-push,yield,367802292,5.4377e+06,183.901,1980000,677388,1179723,2219756
