run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,flat,snapshot,5000,1000,1000,10000,0,0,19732544,50677.7,16986,23917,73187,200201000
2,flat,snapshot,5000,1000,1000,10000,0,0,19571867,51093.7,17294,20394,29523,200201000
3,flat,snapshot,5000,1000,1000,10000,0,0,18595511,53776.4,17272,19952,39694,200201000
4,flat,snapshot,5000,1000,1000,10000,0,0,20914504,47813.7,17752,18078,31045,200201000
5,flat,snapshot,5000,1000,1000,10000,0,0,19200453,52082.1,17911,20419,53173,200201000
6,flat,snapshot,5000,1000,1000,10000,0,0,20949106,47734.7,18147,25972,44411,200201000
7,flat,snapshot,5000,1000,1000,10000,0,0,19580085,51072.3,17997,18385,35327,200201000
