run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,50,stod-copy,dom,direct,37289,110521,15866,54415,21855,65121,75322,205952
1,50,fixed-ref,sax,direct,24860,56143,0,0,6308,14976,31178,76131
1,50,stod-ref,dom,direct,35832,86337,14839,32532,20991,56556,71544,190354
1,50,fixed-ref,dom,direct,46234,135999,4718,11786,26874,85430,78412,217030
1,50,fixed-ref,sax,copy,28096,60640,0,0,7086,22611,35221,87247
2,50,stod-copy,dom,direct,32657,59392,14016,27106,19050,38036,66093,124914
2,50,fixed-ref,sax,direct,18526,43303,0,0,4733,11156,23211,57970
2,50,stod-ref,dom,direct,28008,53268,11418,22728,16228,31299,55837,100317
2,50,fixed-ref,dom,direct,30461,68852,3103,6702,17676,41655,51365,130352
2,50,fixed-ref,sax,copy,17848,30515,0,0,4498,8094,22330,38538
3,50,stod-copy,dom,direct,25335,53624,10850,20894,14699,31232,51029,103865
3,50,fixed-ref,sax,direct,16660,28440,0,0,4180,7186,20837,35826
3,50,stod-ref,dom,direct,23788,43622,9859,18898,13858,28144,47474,102082
3,50,fixed-ref,dom,direct,24513,58345,2538,4901,14158,29546,41222,93691
3,50,fixed-ref,sax,copy,15873,26813,0,0,4020,7952,19878,34198
4,50,stod-copy,dom,direct,22829,38139,9815,19454,13278,23819,46015,75832
4,50,fixed-ref,sax,direct,14770,26000,0,0,3737,6587,18504,32906
4,50,stod-ref,dom,direct,21953,38436,9116,16597,12824,24347,43955,79479
4,50,fixed-ref,dom,direct,25193,40631,2596,4048,14654,25526,42458,65639
4,50,fixed-ref,sax,copy,16248,29087,0,0,4168,7331,20419,36723
5,50,stod-copy,dom,direct,23436,40029,10207,17388,13661,25121,47179,81432
5,50,fixed-ref,sax,direct,15523,29041,0,0,3955,7342,19460,37559
5,50,stod-ref,dom,direct,23117,38053,9559,14769,13430,23458,46086,72088
5,50,fixed-ref,dom,direct,22808,38337,2291,3941,13247,24565,38368,65079
5,50,fixed-ref,sax,copy,15317,27418,0,0,3898,7245,19228,34693
6,50,stod-copy,dom,direct,23085,42239,9985,19623,13492,26448,46530,82710
6,50,fixed-ref,sax,direct,16302,31931,0,0,4130,8454,20427,41248
6,50,stod-ref,dom,direct,25298,49093,10560,23606,14807,31546,50655,111123
6,50,fixed-ref,dom,direct,25355,44379,2640,4138,14718,27871,42686,73883
6,50,fixed-ref,sax,copy,17014,29873,0,0,4328,7670,21345,37776
7,50,stod-copy,dom,direct,25123,42141,10838,18230,14615,25529,50734,78729
7,50,fixed-ref,sax,direct,16601,33823,0,0,4235,9820,20779,44074
7,50,stod-ref,dom,direct,29567,55268,11840,23582,17254,36667,59668,125985
7,50,fixed-ref,dom,direct,29159,49930,2939,5651,16763,31951,49040,86180
7,50,fixed-ref,sax,copy,17889,32022,0,0,4599,8111,22452,40875
8,50,stod-copy,dom,direct,28007,62954,11993,25333,16323,38420,56509,134212
8,50,fixed-ref,sax,direct,18553,32789,0,0,4679,8758,23237,42497
8,50,stod-ref,dom,direct,26302,47805,10862,21693,15296,31059,52518,103732
8,50,fixed-ref,dom,direct,25363,43190,2619,4008,14655,24336,42670,67444
8,50,fixed-ref,sax,copy,18237,31878,0,0,4773,8251,23051,41125
9,50,stod-copy,dom,direct,25679,60888,10968,29248,15077,34829,51747,181683
9,50,fixed-ref,sax,direct,16129,28139,0,0,4116,6948,20227,36012
9,50,stod-ref,dom,direct,23350,39513,9683,16989,13563,25210,46669,79279
9,50,fixed-ref,dom,direct,22826,40417,2231,3732,13179,22789,38269,63692
9,50,fixed-ref,sax,copy,15406,27517,0,0,3910,9016,19311,37199
10,50,stod-copy,dom,direct,22947,37491,9947,19379,13385,24552,46277,76769
10,50,fixed-ref,sax,direct,15304,28974,0,0,3921,6933,19190,35984
10,50,stod-ref,dom,direct,26877,46842,10915,22417,15634,29616,53691,95877
10,50,fixed-ref,dom,direct,25497,48723,2528,4005,14828,27896,42867,81781
10,50,fixed-ref,sax,copy,16182,28194,0,0,4117,7406,20289,35961
11,50,stod-copy,dom,direct,22906,42632,9745,18785,13198,24057,45897,81934
11,50,fixed-ref,sax,direct,15377,28777,0,0,3892,7549,19247,36324
11,50,stod-ref,dom,direct,23049,41713,9541,16890,13445,25712,45975,83040
11,50,fixed-ref,dom,direct,22482,35920,2205,3393,12946,23104,37709,58866
11,50,fixed-ref,sax,copy,15132,31136,0,0,3820,7585,18924,40735
12,50,stod-copy,dom,direct,26028,43895,11061,16091,15154,27254,52499,84886
12,50,fixed-ref,sax,direct,16179,33770,0,0,4100,9191,20287,47410
12,50,stod-ref,dom,direct,23073,40123,9565,18272,13396,24826,45945,80317
12,50,fixed-ref,dom,direct,22228,37753,2190,4659,12802,23894,37193,64925
12,50,fixed-ref,sax,copy,14647,25737,0,0,3754,6565,18397,32810
13,50,stod-copy,dom,direct,22206,39770,9659,17598,12893,22327,44771,78913
13,50,fixed-ref,sax,direct,14642,26260,0,0,3735,7024,18382,33061
13,50,stod-ref,dom,direct,23381,48110,9670,19056,13653,27507,46719,101537
13,50,fixed-ref,dom,direct,26788,58853,2773,4695,15512,34883,45134,105179
13,50,fixed-ref,sax,copy,16850,27993,0,0,4279,7270,21134,35725
14,50,stod-copy,dom,direct,23682,39102,10324,19663,13843,22438,47860,76295
14,50,fixed-ref,sax,direct,15289,26568,0,0,3862,6520,19152,34150
14,50,stod-ref,dom,direct,22985,40402,9667,17459,13358,25104,45962,81197
14,50,fixed-ref,dom,direct,23490,42111,2421,3917,13613,25538,39523,70412
14,50,fixed-ref,sax,copy,16074,27789,0,0,4026,7372,20100,37214
15,50,stod-copy,dom,direct,23649,42140,10117,19622,13726,25669,47559,78447
15,50,fixed-ref,sax,direct,15813,27179,0,0,4000,7578,19817,36551
15,50,stod-ref,dom,direct,23939,48285,9889,20715,14022,31144,47809,103518
15,50,fixed-ref,dom,direct,27489,44579,2751,4468,15870,28911,46144,73956
15,50,fixed-ref,sax,copy,17341,28790,0,0,4428,7284,21760,36328
