run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,bounded,19980,935,2959,0,0,64,1314,1059,4399
1,direct-topic,19980,1761,5167,368,3299,67,818,1847,6038
2,bounded,19980,1043,3119,0,0,76,1391,1133,4688
2,direct-topic,19980,2337,6996,423,3828,86,1481,2484,8954
3,bounded,19980,887,2863,0,0,63,986,966,3947
3,direct-topic,19980,1911,5576,403,3559,72,1103,2014,6851
4,bounded,19980,867,2881,0,0,62,948,940,3940
4,direct-topic,19980,1795,5240,347,3331,67,807,1880,6169
5,bounded,19980,867,2950,0,0,61,1032,952,4022
5,direct-topic,19980,1774,5117,350,3291,68,945,1864,6350
6,bounded,19980,808,2655,0,0,57,822,869,3610
6,direct-topic,19980,1843,5492,386,3341,75,1073,1963,6801
7,bounded,19980,842,2840,0,0,61,842,922,3814
7,direct-topic,19980,1764,5084,347,3330,65,935,1845,6182
8,bounded,19980,805,2636,0,0,58,725,865,3498
8,direct-topic,19980,1663,4710,328,3043,62,762,1740,5578
9,bounded,19980,749,2414,0,0,53,592,802,3125
9,direct-topic,19980,1562,4533,311,2882,59,805,1641,5542
10,bounded,19980,727,2339,0,0,52,673,780,3100
10,direct-topic,19980,1547,4364,302,2847,57,732,1615,5215
11,bounded,19980,708,2394,0,0,50,743,760,3179
11,direct-topic,19980,1528,4522,327,2796,57,836,1602,5498
12,bounded,19980,691,2246,0,0,49,663,744,2939
12,direct-topic,19980,1513,4559,316,2858,57,811,1590,5520
13,bounded,19980,719,2349,0,0,51,785,778,3231
13,direct-topic,19980,1537,4475,290,2847,58,757,1610,5369
14,bounded,19980,713,2380,0,0,51,746,770,3153
14,direct-topic,19980,1604,4780,332,2923,59,968,1681,5929
15,bounded,19980,739,2399,0,0,52,758,800,3250
15,direct-topic,19980,1551,4516,306,2876,59,743,1626,5410
