run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,534790553,3.73978e+06,267.395,1980000,981849,1795671,2606839
2,2000000,42,4096,20000,pre-push,yield,575998773,3.47223e+06,287.999,1980000,995987,1832504,3135255
3,2000000,42,4096,20000,pre-push,yield,393360657,5.08439e+06,196.68,1980000,726590,1291706,1868858
4,2000000,42,4096,20000,pre-push,yield,414782685,4.8218e+06,207.391,1980000,786524,1149334,2248959
5,2000000,42,4096,20000,pre-push,yield,423301714,4.72476e+06,211.651,1980000,817745,1310647,1933817
6,2000000,42,4096,20000,pre-push,yield,349198748,5.7274e+06,174.599,1980000,642242,1177292,1876772
7,2000000,42,4096,20000,pre-push,yield,442360281,4.5212e+06,221.18,1980000,825338,1439445,2404804
