run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,map,delta-update,5000,50000,1000,16,0,0,7699672,6.49378e+06,110,182,233,10010150000
2,map,delta-update,5000,50000,1000,16,0,0,8341303,5.99427e+06,108,167,186,10010150000
3,map,delta-update,5000,50000,1000,16,0,0,6747733,7.4099e+06,110,113,114,10010150000
4,map,delta-update,5000,50000,1000,16,0,0,6958459,7.1855e+06,113,118,120,10010150000
5,map,delta-update,5000,50000,1000,16,0,0,7050502,7.09169e+06,114,118,120,10010150000
6,map,delta-update,5000,50000,1000,16,0,0,7855012,6.36536e+06,117,122,143,10010150000
7,map,delta-update,5000,50000,1000,16,0,0,7269641,6.87792e+06,117,124,124,10010150000
