run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,off,537847571,3.71853e+06,268.924,0,0,0,0
2,2000000,42,4096,20000,off,431284340,4.63731e+06,215.642,0,0,0,0
3,2000000,42,4096,20000,off,489171150,4.08855e+06,244.586,0,0,0,0
4,2000000,42,4096,20000,off,560349652,3.5692e+06,280.175,0,0,0,0
5,2000000,42,4096,20000,off,383065826,5.22103e+06,191.533,0,0,0,0
6,2000000,42,4096,20000,off,421112576,4.74932e+06,210.556,0,0,0,0
7,2000000,42,4096,20000,off,471515495,4.24164e+06,235.758,0,0,0,0
