run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,flat,delta-update,5000,50000,1000,16,0,0,9834919,5.08393e+06,163,167,170,10010150000
2,flat,delta-update,5000,50000,1000,16,0,0,10655028,4.69262e+06,163,167,169,10010150000
3,flat,delta-update,5000,50000,1000,16,0,0,10593416,4.71991e+06,164,169,172,10010150000
4,flat,delta-update,5000,50000,1000,16,0,0,10822814,4.61987e+06,168,195,442,10010150000
5,flat,delta-update,5000,50000,1000,16,0,0,10521729,4.75207e+06,168,173,199,10010150000
6,flat,delta-update,5000,50000,1000,16,0,0,10676877,4.68302e+06,168,175,247,10010150000
7,flat,delta-update,5000,50000,1000,16,0,0,10685551,4.67922e+06,168,236,279,10010150000
