run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,bounded,398,8942,29383,0,0,3961,12834,12362,43689
2,one-pass,398,8457,28006,0,0,3662,13453,11641,48444
3,one-pass,398,7266,28297,0,0,3283,11588,10371,36821
4,bounded,398,6651,22344,0,0,3321,9705,9760,31585
5,bounded,398,6724,25205,0,0,3395,17076,9912,40192
6,one-pass,398,7264,28748,0,0,3192,11734,10400,38216
