run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-update,1000,50000,1000,16,0,0,6342480,7.88335e+06,91,97,168,10010150000
2,delta-update,1000,50000,1000,16,0,0,8473266,5.90091e+06,135,161,177,10010150000
3,delta-update,1000,50000,1000,16,0,0,5816509,8.59622e+06,90,93,105,10010150000
4,delta-update,1000,50000,1000,16,0,0,5653122,8.84467e+06,88,90,91,10010150000
5,delta-update,1000,50000,1000,16,0,0,5849475,8.54778e+06,89,92,120,10010150000
6,delta-update,1000,50000,1000,16,0,0,6361093,7.86028e+06,89,150,159,10010150000
7,delta-update,1000,50000,1000,16,0,0,5825980,8.58225e+06,89,91,121,10010150000
