run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,3005,9274,517,4005,81,1684,3164,11261
1,scanner,20000,847,2792,0,0,72,1162,940,4029
2,direct-topic,19980,2074,11827,432,4142,82,1592,2216,12576
2,scanner,20000,833,2740,0,0,72,1174,916,3944
3,direct-topic,19980,2920,10071,566,4285,88,1792,3135,12278
3,scanner,20000,903,2925,0,0,79,1339,1001,4320
4,direct-topic,19980,2467,8414,495,4270,94,1831,2653,10814
4,scanner,20000,913,2951,0,0,79,1344,1013,4379
5,direct-topic,19980,2427,7628,497,4098,92,1714,2620,9671
5,scanner,20000,1042,3154,0,0,88,1619,1160,4964
6,direct-topic,19980,2503,8591,525,4190,84,1557,2697,10718
6,scanner,20000,1068,3413,0,0,85,1766,1168,5405
7,direct-topic,19980,3012,8873,514,4407,93,1690,3137,11078
7,scanner,20000,872,2849,0,0,77,1246,963,4270
8,direct-topic,19980,2041,6768,427,3725,79,1359,2159,8323
8,scanner,20000,1047,3375,0,0,93,1737,1176,5432
9,direct-topic,19980,2252,6655,464,4040,88,1378,2378,8444
9,scanner,20000,893,2913,0,0,74,1152,1002,3977
10,direct-topic,19980,1994,6063,417,3570,76,1353,2100,7599
10,scanner,20000,785,2583,0,0,67,969,858,3671
11,direct-topic,19980,1861,5604,378,3369,72,1155,1956,6964
11,scanner,20000,786,2558,0,0,67,1130,868,3780
12,direct-topic,19980,1833,5341,368,3272,71,1136,1927,6749
12,scanner,20000,780,2565,0,0,66,1060,868,3740
13,direct-topic,19980,1936,5495,398,3417,76,1226,2053,6902
13,scanner,20000,827,2677,0,0,68,1120,937,3834
14,direct-topic,19980,1901,5370,392,3312,75,1254,2014,6919
14,scanner,20000,825,2580,0,0,69,951,926,3575
15,direct-topic,19980,1878,5917,399,3434,72,1273,1980,7434
15,scanner,20000,814,2600,0,0,67,1125,931,3809
