run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,369894659,5.40694e+06,184.947,1980000,689439,1216478,1621357
2,2000000,42,4096,20000,pre-push,441344921,4.5316e+06,220.672,1980000,821257,1314709,2500542
3,2000000,42,4096,20000,pre-push,475066194,4.20994e+06,237.533,1980000,883631,1436928,2215037
4,2000000,42,4096,20000,pre-push,393806859,5.07863e+06,196.903,1980000,723062,1271795,2143272
5,2000000,42,4096,20000,pre-push,429663695,4.6548e+06,214.832,1980000,794462,1380202,1834921
6,2000000,42,4096,20000,pre-push,388764112,5.14451e+06,194.382,1980000,717442,1226357,2123051
7,2000000,42,4096,20000,pre-push,484560590,4.12745e+06,242.28,1980000,904553,1499968,2450066
