run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,pause,378160928,5.28875e+06,189.08,1980000,692052,1161050,1704665
2,2000000,42,4096,20000,pre-push,pause,395190199,5.06085e+06,197.595,1980000,755514,1284740,1900707
3,2000000,42,4096,20000,pre-push,pause,428063407,4.67221e+06,214.032,1980000,823143,1304199,1932152
4,2000000,42,4096,20000,pre-push,pause,342305659,5.84273e+06,171.153,1980000,666241,1018316,1648515
5,2000000,42,4096,20000,pre-push,pause,339737120,5.8869e+06,169.869,1980000,606758,1061761,1507070
6,2000000,42,4096,20000,pre-push,pause,365396335,5.47351e+06,182.698,1980000,708732,1100911,1635402
7,2000000,42,4096,20000,pre-push,pause,385120365,5.19318e+06,192.56,1980000,742339,1089637,1727705
