run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,483443136,4.13699e+06,241.722,1980000,941842,1309209,2311905
2,2000000,42,4096,20000,pre-push,537778038,3.71901e+06,268.889,1980000,993682,1854003,2415936
3,2000000,42,4096,20000,pre-push,570721312,3.50434e+06,285.361,1980000,1032541,1896994,3880265
4,2000000,42,4096,20000,pre-push,626349075,3.19311e+06,313.175,1980000,1125405,1951872,2850966
5,2000000,42,4096,20000,pre-push,574451216,3.48158e+06,287.226,1980000,963178,2153732,3408573
6,2000000,42,4096,20000,pre-push,588288030,3.3997e+06,294.144,1980000,1039557,1899662,3309481
7,2000000,42,4096,20000,pre-push,662616151,3.01834e+06,331.308,1980000,1160405,2226802,4192451
