run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,674104831,2.9669e+06,337.052,1980000,1147874,2413602,3911517
2,2000000,42,4096,20000,pre-push,769793955,2.5981e+06,384.897,1980000,1331292,2559634,3513755
3,2000000,42,4096,20000,pre-push,591316718,3.38228e+06,295.658,1980000,1057361,1927670,2744003
4,2000000,42,4096,20000,pre-push,619462914,3.2286e+06,309.731,1980000,1081535,2170615,2874015
5,2000000,42,4096,20000,pre-push,517468174,3.86497e+06,258.734,1980000,921512,1914050,3005437
6,2000000,42,4096,20000,pre-push,461346964,4.33513e+06,230.673,1980000,844227,1567723,2095065
7,2000000,42,4096,20000,pre-push,450284715,4.44163e+06,225.142,1980000,812043,1713043,2247956
