run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,579395056,3.45188e+06,289.698,1980000,4419650,7078498,8565888
2,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,540053417,3.70334e+06,270.027,1980000,4097678,6801703,8288768
3,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,606515347,3.29753e+06,303.258,1980000,4488937,7122395,11226022
4,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,619190974,3.23002e+06,309.595,1980000,4578379,7497177,11547886
5,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,450017799,4.44427e+06,225.009,1980000,3426845,4969267,7477852
6,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,433590095,4.61265e+06,216.795,1980000,3129357,5037049,7376864
7,2000000,42,16384,0,20000,pre-push,yield,0,2,0,0,2,2,444219708,4.50228e+06,222.11,1980000,3432968,5824740,6873635
