run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,662946767,3.01683e+06,331.473,1980000,68894,129324,225770
2,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,678942749,2.94576e+06,339.471,1980000,65874,137437,248999
3,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,727016835,2.75097e+06,363.508,1980000,74260,146256,256968
4,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,642031276,3.11511e+06,321.016,1980000,67070,127716,208298
5,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,594898927,3.36192e+06,297.449,1980000,60413,135559,255915
6,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,448025413,4.46403e+06,224.013,1980000,48214,80593,150792
7,2000000,42,256,0,20000,pre-push,yield,0,2,0,0,2,2,484980646,4.12388e+06,242.49,1980000,53987,84967,150201
