run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,5000,50000,1000,12,0,0,17736725,2.81901e+06,288,406,555,10010200000
2,delta-mixed,5000,50000,1000,12,0,0,15655953,3.19367e+06,260,382,429,10010200000
3,delta-mixed,5000,50000,1000,12,0,0,17050254,2.93251e+06,252,550,609,10010200000
4,delta-mixed,5000,50000,1000,12,0,0,18526873,2.69878e+06,294,417,558,10010200000
5,delta-mixed,5000,50000,1000,12,0,0,19406276,2.57649e+06,275,554,598,10010200000
6,delta-mixed,5000,50000,1000,12,0,0,18041392,2.7714e+06,248,552,565,10010200000
7,delta-mixed,5000,50000,1000,12,0,0,17708402,2.82352e+06,275,523,566,10010200000
