run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,off,562477921,3.5557e+06,281.239,0,0,0,0
2,2000000,42,4096,20000,off,414999660,4.81928e+06,207.5,0,0,0,0
3,2000000,42,4096,20000,off,506897615,3.94557e+06,253.449,0,0,0,0
4,2000000,42,4096,20000,off,402396548,4.97022e+06,201.198,0,0,0,0
5,2000000,42,4096,20000,off,658680306,3.03637e+06,329.34,0,0,0,0
6,2000000,42,4096,20000,off,672516258,2.97391e+06,336.258,0,0,0,0
7,2000000,42,4096,20000,off,681428573,2.93501e+06,340.714,0,0,0,0
