run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,pause,345647173,5.78625e+06,172.824,1980000,650745,1061117,1594460
2,2000000,42,4096,20000,pre-push,pause,372486759,5.36932e+06,186.243,1980000,633648,1325948,1960926
3,2000000,42,4096,20000,pre-push,pause,343408720,5.82396e+06,171.704,1980000,639825,1069072,1717720
4,2000000,42,4096,20000,pre-push,pause,411525842,4.85996e+06,205.763,1980000,773165,1304930,1974532
5,2000000,42,4096,20000,pre-push,pause,297758579,6.71685e+06,148.879,1980000,553997,950726,1591167
6,2000000,42,4096,20000,pre-push,pause,403488476,4.95677e+06,201.744,1980000,755185,1235293,1814526
7,2000000,42,4096,20000,pre-push,pause,373135937,5.35998e+06,186.568,1980000,720961,1159217,1642138
