run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,561082974,3.56454e+06,280.541,1980000,1059821,1829420,2601486
2,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,498088138,4.01535e+06,249.044,1980000,913948,1711359,2221573
3,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,425550125,4.6998e+06,212.775,1980000,776635,1380444,2046702
4,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,496069834,4.03169e+06,248.035,1980000,812774,1660835,3563014
5,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,501959026,3.98439e+06,250.98,1980000,885756,1598052,2207422
6,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,402663059,4.96693e+06,201.332,1980000,750815,1266797,1855212
7,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,341414492,5.85798e+06,170.707,1980000,668820,882232,1767315
