run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,1000,stod-copy,dom,direct,584975,1562335,248964,628002,333061,1094449,1181782,2655975
1,1000,fixed-ref,sax,direct,465702,1268091,0,0,134004,520834,602568,1534858
1,1000,stod-ref,dom,direct,542910,1318028,222120,750723,311085,934389,1082157,2381767
1,1000,fixed-ref,dom,direct,464313,1347667,49184,95738,261417,847675,777671,1847217
1,1000,fixed-ref,sax,copy,301663,715434,0,0,84433,277702,386783,943753
2,1000,stod-copy,dom,direct,413278,1185005,176564,259471,236682,399625,831838,1795474
2,1000,fixed-ref,sax,direct,302751,881599,0,0,84908,160339,388123,1170560
2,1000,stod-ref,dom,direct,426112,1092843,179223,316990,241536,527534,848389,1883274
2,1000,fixed-ref,dom,direct,410757,1165832,44472,91044,232876,495687,691661,1744593
2,1000,fixed-ref,sax,copy,312631,1022839,0,0,86649,152442,399983,1221174
3,1000,stod-copy,dom,direct,423791,1162682,180869,324054,242466,686010,852214,1867765
3,1000,fixed-ref,sax,direct,301649,495074,0,0,82880,139410,385299,1196172
3,1000,stod-ref,dom,direct,463865,1286233,190685,446469,264578,982028,921896,1972711
3,1000,fixed-ref,dom,direct,431135,1092794,46058,80959,243905,941608,723147,1747187
3,1000,fixed-ref,sax,copy,296772,584853,0,0,82846,172172,380349,982890
4,1000,stod-copy,dom,direct,447399,1190812,187808,414632,252519,503625,894946,2062225
4,1000,fixed-ref,sax,direct,297579,639052,0,0,83893,279391,381945,1102435
4,1000,stod-ref,dom,direct,400072,1225467,170973,273498,229066,418025,803884,1848312
4,1000,fixed-ref,dom,direct,436860,1285516,46560,74984,249461,382129,735090,1692705
4,1000,fixed-ref,sax,copy,300255,921798,0,0,82778,114556,383804,1055147
5,1000,stod-copy,dom,direct,418161,1225629,179211,297890,237730,616347,836744,1903460
5,1000,fixed-ref,sax,direct,314593,1151961,0,0,89935,250907,405713,1482067
5,1000,stod-ref,dom,direct,415749,997732,173194,546930,237855,421427,830470,1628317
5,1000,fixed-ref,dom,direct,411280,700704,44476,71577,234392,537985,694207,1480602
