run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,one-pass,19900,690,1907,0,0,64,350,765,2227
1,bounded,19900,875,1949,0,0,69,411,955,2315
2,one-pass,19900,713,1943,0,0,66,342,789,2274
2,bounded,19900,875,2042,0,0,71,412,953,2395
3,one-pass,19900,727,1960,0,0,69,376,806,2297
3,bounded,19900,873,1988,0,0,68,357,953,2327
4,one-pass,19900,748,2055,0,0,70,370,828,2410
4,bounded,19900,909,5563,0,0,71,662,990,6140
5,one-pass,19900,760,2108,0,0,70,383,839,2465
5,bounded,19900,962,5469,0,0,78,654,1051,6120
6,one-pass,19900,778,2168,0,0,72,408,861,2538
6,bounded,19900,949,2189,0,0,77,430,1034,2561
7,one-pass,19900,781,2137,0,0,73,417,865,2516
7,bounded,19900,968,2436,0,0,86,552,1057,2991
8,one-pass,19900,811,2274,0,0,76,427,898,2659
8,bounded,19900,991,2242,0,0,78,523,1082,2652
9,one-pass,19900,818,2316,0,0,77,451,907,2744
9,bounded,19900,993,2259,0,0,80,504,1084,2701
10,one-pass,19900,827,2533,0,0,85,508,921,2981
10,bounded,19900,988,2253,0,0,79,471,1078,2709
11,one-pass,19900,815,2284,0,0,76,453,904,2678
11,bounded,19900,992,2258,0,0,79,483,1082,2653
12,one-pass,19900,819,2335,0,0,78,507,909,2745
12,bounded,19900,1162,2734,0,0,94,622,1271,3305
13,one-pass,19900,942,2615,0,0,89,515,1044,3052
13,bounded,19900,1105,2577,0,0,92,542,1205,3065
14,one-pass,19900,896,2501,0,0,85,484,994,2917
14,bounded,19900,1089,2464,0,0,86,559,1189,2928
15,one-pass,19900,885,2499,0,0,84,521,982,2979
15,bounded,19900,1113,2597,0,0,92,483,1215,3060
