run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,549788234,3.63776e+06,274.894,1980000,1041498,1554362,2874781
2,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,451926241,4.4255e+06,225.963,1980000,813591,1204579,1815943
3,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,662201812,3.02023e+06,331.101,1980000,1382201,1726661,2587235
4,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,481726528,4.15173e+06,240.863,1980000,865038,1341132,1826888
5,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,508344943,3.93434e+06,254.172,1980000,870822,1531422,1836944
6,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,405359964,4.93389e+06,202.68,1980000,752507,1275158,1670645
7,2000000,42,4096,1300000,20000,pre-push,yield,0,2,0,0,2,2,499031050,4.00777e+06,249.516,1980000,962421,1281266,1879228
