run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,1,stod-copy,dom,direct,1207,2068,365,658,349,629,1922,3291
1,1,fixed-ref,sax,direct,859,1315,0,0,75,132,939,1442
1,1,stod-ref,dom,direct,1220,1938,361,559,350,592,1930,3088
1,1,fixed-ref,dom,direct,1170,1575,170,207,335,419,1670,2219
1,1,fixed-ref,sax,copy,806,1077,0,0,69,119,880,1182
2,1,stod-copy,dom,direct,1124,1825,344,514,328,521,1800,2809
2,1,fixed-ref,sax,direct,750,962,0,0,65,113,821,1058
2,1,stod-ref,dom,direct,1097,1660,325,502,322,490,1746,2683
2,1,fixed-ref,dom,direct,1102,2177,161,344,317,678,1575,3150
2,1,fixed-ref,sax,copy,773,1070,0,0,67,117,847,1177
3,1,stod-copy,dom,direct,1164,1958,358,564,336,569,1857,3021
3,1,fixed-ref,sax,direct,799,1459,0,0,69,138,873,1590
3,1,stod-ref,dom,direct,1221,2256,372,761,351,691,1943,3652
3,1,fixed-ref,dom,direct,1280,2374,186,376,371,749,1831,3445
3,1,fixed-ref,sax,copy,985,1936,0,0,84,193,1075,2109
4,1,stod-copy,dom,direct,1439,2724,443,894,415,844,2293,4449
4,1,fixed-ref,sax,direct,938,1510,0,0,81,153,1024,1647
4,1,stod-ref,dom,direct,1306,1932,382,546,377,528,2068,3072
4,1,fixed-ref,dom,direct,1162,2083,169,312,334,616,1658,3006
4,1,fixed-ref,sax,copy,775,1039,0,0,66,107,845,1146
5,1,stod-copy,dom,direct,1085,2001,334,618,315,573,1733,3490
5,1,fixed-ref,sax,direct,720,957,0,0,62,107,788,1056
5,1,stod-ref,dom,direct,1054,1440,314,411,306,396,1672,2266
5,1,fixed-ref,dom,direct,1068,1990,157,274,307,622,1528,2914
5,1,fixed-ref,sax,copy,751,1073,0,0,64,113,821,1181
6,1,stod-copy,dom,direct,1073,1984,324,636,338,622,1727,3251
6,1,fixed-ref,sax,direct,742,1378,0,0,64,142,811,1512
6,1,stod-ref,dom,direct,1148,2228,336,683,328,771,1814,3653
6,1,fixed-ref,dom,direct,1413,2891,208,443,412,894,2027,4130
6,1,fixed-ref,sax,copy,987,1866,0,0,85,164,1079,2000
7,1,stod-copy,dom,direct,1355,2049,408,606,384,574,2142,3293
7,1,fixed-ref,sax,direct,894,1605,0,0,77,144,977,1728
7,1,stod-ref,dom,direct,1261,2063,375,536,365,529,2000,3101
7,1,fixed-ref,dom,direct,1255,2445,182,374,358,741,1788,3513
7,1,fixed-ref,sax,copy,847,1583,0,0,72,157,926,1712
8,1,stod-copy,dom,direct,1356,2493,408,779,393,862,2164,4114
8,1,fixed-ref,sax,direct,931,1252,0,0,81,139,1019,1382
8,1,stod-ref,dom,direct,1379,2654,409,874,397,820,2183,4305
8,1,fixed-ref,dom,direct,1322,2052,191,293,379,592,1885,2916
8,1,fixed-ref,sax,copy,891,1336,0,0,76,137,972,1458
9,1,stod-copy,dom,direct,1219,1685,367,488,350,461,1937,2693
9,1,fixed-ref,sax,direct,774,1411,0,0,67,117,847,1525
9,1,stod-ref,dom,direct,1129,1949,334,566,327,559,1787,3018
9,1,fixed-ref,dom,direct,1125,1631,156,226,312,442,1586,2302
9,1,fixed-ref,sax,copy,724,1190,0,0,62,122,792,1309
10,1,stod-copy,dom,direct,1087,1758,332,564,313,536,1731,2825
10,1,fixed-ref,sax,direct,736,1299,0,0,78,134,813,1425
10,1,stod-ref,dom,direct,1049,1835,312,555,303,533,1662,2924
10,1,fixed-ref,dom,direct,1102,2184,159,306,316,625,1571,3069
10,1,fixed-ref,sax,copy,787,1382,0,0,67,135,859,1512
11,1,stod-copy,dom,direct,1381,2834,423,921,395,892,2196,4573
11,1,fixed-ref,sax,direct,955,1954,0,0,83,200,1044,2119
11,1,stod-ref,dom,direct,1329,2547,396,840,384,785,2107,4122
11,1,fixed-ref,dom,direct,1297,2620,190,411,373,823,1851,3763
11,1,fixed-ref,sax,copy,843,1379,0,0,73,143,925,1518
12,1,stod-copy,dom,direct,1230,2110,375,680,351,647,1954,3391
12,1,fixed-ref,sax,direct,871,1585,0,0,75,167,949,1729
12,1,stod-ref,dom,direct,1247,2398,365,789,361,730,1973,3868
12,1,fixed-ref,dom,direct,1294,2545,191,376,375,928,1852,3809
12,1,fixed-ref,sax,copy,916,1790,0,0,79,187,1005,1960
13,1,stod-copy,dom,direct,1318,2602,405,858,380,815,2099,4237
13,1,fixed-ref,sax,direct,886,1213,0,0,76,132,969,1331
13,1,stod-ref,dom,direct,1246,2132,366,653,360,632,1973,3425
13,1,fixed-ref,dom,direct,1148,2223,168,305,333,627,1645,3691
13,1,fixed-ref,sax,copy,775,1067,0,0,67,115,847,1179
14,1,stod-copy,dom,direct,1094,1726,335,498,315,491,1742,2739
14,1,fixed-ref,sax,direct,724,1215,0,0,62,110,791,1312
14,1,stod-ref,dom,direct,1089,2255,319,707,312,703,1719,3608
14,1,fixed-ref,dom,direct,1099,1784,159,251,312,514,1567,2531
14,1,fixed-ref,sax,copy,773,1050,0,0,66,115,844,1157
15,1,stod-copy,dom,direct,1124,2208,340,727,323,687,1782,3567
15,1,fixed-ref,sax,direct,747,1108,0,0,64,114,816,1209
15,1,stod-ref,dom,direct,1049,1659,310,462,302,478,1661,2639
15,1,fixed-ref,dom,direct,992,1703,144,253,287,511,1419,2458
15,1,fixed-ref,sax,copy,682,1128,0,0,58,103,746,1230
