run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,snapshot,5000,1000,1000,10000,0,0,91809802,10892.1,70986,141559,196260,200201000
2,snapshot,5000,1000,1000,10000,0,0,88797423,11261.6,80077,146527,183953,200201000
3,snapshot,5000,1000,1000,10000,0,0,78133639,12798.6,72607,96343,121905,200201000
4,snapshot,5000,1000,1000,10000,0,0,81139989,12324.4,77312,102566,108482,200201000
5,snapshot,5000,1000,1000,10000,0,0,63484830,15751.8,52774,87130,92486,200201000
6,snapshot,5000,1000,1000,10000,0,0,69374449,14414.5,63729,89846,120731,200201000
7,snapshot,5000,1000,1000,10000,0,0,56987884,17547.6,53496,67983,107796,200201000
