run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,2668,9280,466,4072,89,1894,2813,12418
1,bounded,19980,1234,4041,0,0,91,2030,1349,6445
2,direct-topic,19980,2793,8913,515,4247,89,1909,2979,11388
2,bounded,19980,1120,3491,0,0,76,1603,1256,5289
3,direct-topic,19980,2161,6975,459,3806,82,1550,2321,8750
3,bounded,19980,1263,3916,0,0,83,1933,1403,5984
4,direct-topic,19980,2349,7511,479,4016,90,1748,2521,9929
4,bounded,19980,1305,4210,0,0,97,2011,1424,6730
5,direct-topic,19980,2531,8962,540,4311,89,1934,2717,11572
5,bounded,19980,1069,3470,0,0,74,1334,1189,4885
6,direct-topic,19980,2124,6206,435,3738,80,1272,2241,7865
6,bounded,19980,973,3309,0,0,69,1221,1064,4668
7,direct-topic,19980,2636,8265,484,4348,96,1972,2805,10631
7,bounded,19980,1097,3590,0,0,81,1735,1220,5468
8,direct-topic,19980,2296,8039,480,4122,86,1752,2474,10066
8,bounded,19980,1250,4015,0,0,87,1942,1386,6365
9,direct-topic,19980,2579,8446,497,4533,97,1983,2765,11229
9,bounded,19980,1178,3816,0,0,86,1903,1315,5979
10,direct-topic,19980,2775,9701,537,4784,102,2206,2964,12823
10,bounded,19980,1355,4177,0,0,88,1773,1484,6306
11,direct-topic,19980,2510,7966,516,4385,96,1800,2689,10413
11,bounded,19980,1630,5377,0,0,91,2153,1741,7858
12,direct-topic,19980,2397,7907,499,4261,95,1641,2568,9895
12,bounded,19980,1308,3889,0,0,91,1549,1419,5735
13,direct-topic,19980,2399,8011,484,4163,92,1798,2599,10194
13,bounded,19980,1032,3312,0,0,78,1276,1154,4697
14,direct-topic,19980,2665,8171,488,4148,94,1680,2825,10364
14,bounded,19980,1109,3357,0,0,75,1326,1239,4846
15,direct-topic,19980,2091,6564,455,3773,78,1522,2225,8193
15,bounded,19980,950,3221,0,0,69,1418,1058,4840
