run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,2041,6506,434,3758,80,1388,2159,8153
1,scanner,12980,763,1112,0,0,47,356,813,1389
2,direct-topic,19980,2135,6664,434,3786,84,1538,2282,8550
2,scanner,12980,741,1074,0,0,48,358,790,1370
3,direct-topic,19980,1944,5930,398,3451,76,1344,2058,7510
3,scanner,12980,858,1332,0,0,60,475,929,1675
4,direct-topic,19980,2354,7730,481,4024,84,1655,2533,9446
4,scanner,12980,831,1304,0,0,56,587,897,1727
5,direct-topic,19980,2528,8164,498,4492,95,1875,2699,10272
5,scanner,12980,881,1344,0,0,58,403,940,1631
6,direct-topic,19980,2213,6887,467,3965,86,1492,2346,8916
6,scanner,12980,915,1492,0,0,61,522,1004,1856
7,direct-topic,19980,2255,7542,491,4045,85,1636,2414,9548
7,scanner,12980,802,1165,0,0,52,346,856,1439
8,direct-topic,19980,1995,5903,411,3575,75,1262,2098,7361
8,scanner,12980,731,1072,0,0,45,316,780,1296
9,direct-topic,19980,1837,5216,362,3288,70,986,1925,6398
9,scanner,12980,726,1180,0,0,49,450,783,1528
10,direct-topic,19980,1721,5045,344,3092,67,980,1810,6243
10,scanner,12980,737,1045,0,0,48,302,787,1290
11,direct-topic,19980,1887,5582,386,3420,74,1172,1986,6994
11,scanner,12980,706,1177,0,0,47,337,753,1406
12,direct-topic,19980,1746,5052,356,3154,67,1067,1837,6280
12,scanner,12980,684,1158,0,0,46,368,733,1490
13,direct-topic,19980,1621,4547,315,2895,60,739,1695,5424
13,scanner,12980,596,937,0,0,36,275,636,1121
14,direct-topic,19980,1481,4221,285,2713,57,725,1553,5182
14,scanner,12980,570,772,0,0,33,210,607,919
15,direct-topic,19980,1362,3951,267,2468,52,677,1430,4741
15,scanner,12980,536,732,0,0,32,198,570,884
