run,implementation,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,map,snapshot,5000,1000,1000,10000,0,0,72418350,13808.7,67803,81601,104392,200201000
2,map,snapshot,5000,1000,1000,10000,0,0,91813051,10891.7,82688,120540,187734,200201000
3,map,snapshot,5000,1000,1000,10000,0,0,87392080,11442.7,77284,111198,179588,200201000
4,map,snapshot,5000,1000,1000,10000,0,0,90179769,11089,79017,145067,189223,200201000
5,map,snapshot,5000,1000,1000,10000,0,0,102342503,9771.11,81284,156187,242406,200201000
6,map,snapshot,5000,1000,1000,10000,0,0,87865517,11381,80491,105156,186060,200201000
7,map,snapshot,5000,1000,1000,10000,0,0,84551524,11827.1,74347,107467,159804,200201000
