run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,491588152,4.06845e+06,245.794,1980000,905903,1594753,2845859
2,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,521428027,3.83562e+06,260.714,1980000,935932,1804976,2763344
3,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,515333268,3.88098e+06,257.667,1980000,968569,1555068,2399002
4,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,494018135,4.04843e+06,247.009,1980000,875420,1541979,2098225
5,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,398858738,5.01431e+06,199.429,1980000,745850,1304025,1992876
6,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,495959803,4.03258e+06,247.98,1980000,898591,1518495,2194155
7,2000000,42,4096,20000,pre-push,yield,0,1,0,0,1,1,476809688,4.19455e+06,238.405,1980000,903019,1486187,2369251
