run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,500,50000,1000,12,0,0,9414266,5.31109e+06,131,213,244,10010200000
2,delta-mixed,500,50000,1000,12,0,0,10841559,4.61188e+06,137,237,261,10010200000
3,delta-mixed,500,50000,1000,12,0,0,11049783,4.52498e+06,133,234,248,10010200000
4,delta-mixed,500,50000,1000,12,0,0,12888564,3.87941e+06,234,259,280,10010200000
5,delta-mixed,500,50000,1000,12,0,0,9845436,5.0785e+06,132,223,238,10010200000
6,delta-mixed,500,50000,1000,12,0,0,9152171,5.46318e+06,133,229,243,10010200000
7,delta-mixed,500,50000,1000,12,0,0,9233268,5.4152e+06,133,227,242,10010200000
