run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,458505443,4.362e+06,229.253,1980000,876265,1675682,2559046
2,2000000,42,4096,20000,pre-push,yield,497854719,4.01724e+06,248.927,1980000,886588,1599862,2342888
3,2000000,42,4096,20000,pre-push,yield,548519101,3.64618e+06,274.26,1980000,951880,1754049,2759536
4,2000000,42,4096,20000,pre-push,yield,449928589,4.44515e+06,224.964,1980000,818653,1454851,2395382
5,2000000,42,4096,20000,pre-push,yield,464733504,4.30354e+06,232.367,1980000,832940,1489200,2509114
6,2000000,42,4096,20000,pre-push,yield,503101758,3.97534e+06,251.551,1980000,926270,1545756,2405886
7,2000000,42,4096,20000,pre-push,yield,562231497,3.55725e+06,281.116,1980000,1027493,1779009,2499964
