run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,snapshot,5000,1000,1000,10000,0,0,579600729,1725.33,527034,871846,1459095,200201000
2,snapshot,5000,1000,1000,10000,0,0,540400365,1850.48,491041,823059,1383525,200201000
3,snapshot,5000,1000,1000,10000,0,0,468310885,2135.33,444953,539589,1017983,200201000
4,snapshot,5000,1000,1000,10000,0,0,464218079,2154.16,438135,532123,1262228,200201000
5,snapshot,5000,1000,1000,10000,0,0,485606027,2059.28,455917,573029,1202664,200201000
6,snapshot,5000,1000,1000,10000,0,0,462678869,2161.33,435582,524387,1190841,200201000
7,snapshot,5000,1000,1000,10000,0,0,475391303,2103.53,448796,543365,1159890,200201000
