run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,328638867,6.08571e+06,164.319,1980000,620889,1010350,1919380
2,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,333003121,6.00595e+06,166.502,1980000,579715,1194642,2001184
3,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,313846220,6.37255e+06,156.923,1980000,600549,975285,1548527
4,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,454891793,4.39665e+06,227.446,1980000,838184,1458280,1919614
5,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,403851527,4.95232e+06,201.926,1980000,744023,1181868,1810747
6,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,420322447,4.75825e+06,210.161,1980000,805044,1200549,1963026
7,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,367324369,5.44478e+06,183.662,1980000,676284,1104020,1779965
