run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,506582670,3.94802e+06,253.291,1980000,903277,1725307,2469589
2,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,398161664,5.02309e+06,199.081,1980000,741693,1277930,1766747
3,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,460275330,4.34523e+06,230.138,1980000,828044,1552979,2095259
4,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,495017469,4.04026e+06,247.509,1980000,898684,1625546,2155544
5,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,540586695,3.69968e+06,270.293,1980000,961502,1815157,2526494
6,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,368721723,5.42414e+06,184.361,1980000,671931,1281014,1953029
7,2000000,42,4096,0,20000,pre-push,yield,0,2,0,0,2,2,418234516,4.78201e+06,209.117,1980000,760604,1429737,2080977
