run,processed,seed,queue_capacity,book_reserve,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,508424906,3.93372e+06,254.212,1980000,781767,1958779,2446927
2,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,641662588,3.1169e+06,320.831,1980000,949771,2212392,4182325
3,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,567474687,3.52439e+06,283.737,1980000,844887,1998680,3698398
4,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,506930189,3.94532e+06,253.465,1980000,785696,1941189,2642174
5,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,425815994,4.69686e+06,212.908,1980000,784564,1418775,2452909
6,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,480165789,4.16523e+06,240.083,1980000,862499,1699579,1991845
7,2000000,42,4096,524288,20000,pre-push,yield,0,2,0,0,2,2,752089986,2.65926e+06,376.045,1980000,769251,4330079,11312107
