run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,494654425,4.04323e+06,247.327,1980000,906507,1598599,2400704
2,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,555317370,3.60154e+06,277.659,1980000,1002928,1901264,3051338
3,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,416856646,4.79781e+06,208.428,1980000,764022,1353026,2223524
4,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,389895899,5.12957e+06,194.948,1980000,739594,1287710,2309725
5,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,378386978,5.28559e+06,189.193,1980000,688803,1162036,1991372
6,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,375383216,5.32789e+06,187.692,1980000,686335,1239358,2120309
7,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,414750466,4.82218e+06,207.375,1980000,802975,1332321,2151268
