run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,off,425921496,4.6957e+06,212.961,0,0,0,0
2,2000000,42,4096,20000,off,511521863,3.9099e+06,255.761,0,0,0,0
3,2000000,42,4096,20000,off,361455056,5.53319e+06,180.728,0,0,0,0
4,2000000,42,4096,20000,off,390367972,5.12337e+06,195.184,0,0,0,0
5,2000000,42,4096,20000,off,369546574,5.41204e+06,184.773,0,0,0,0
6,2000000,42,4096,20000,off,415927561,4.80853e+06,207.964,0,0,0,0
7,2000000,42,4096,20000,off,403691285,4.95428e+06,201.846,0,0,0,0
