run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,754404355,2.6511e+06,377.202,1980000,1179490,2483821,5156582
2,2000000,42,4096,20000,pre-push,494576954,4.04386e+06,247.288,1980000,917339,1528810,2355173
3,2000000,42,4096,20000,pre-push,526454026,3.799e+06,263.227,1980000,946131,1703907,2443814
4,2000000,42,4096,20000,pre-push,770446594,2.5959e+06,385.223,1980000,1276411,2388458,5729055
5,2000000,42,4096,20000,pre-push,1002973651,1.99407e+06,501.487,1980000,1524695,3680414,8512513
6,2000000,42,4096,20000,pre-push,643557150,3.10773e+06,321.779,1980000,1120852,2041550,2821628
7,2000000,42,4096,20000,pre-push,1194131230,1.67486e+06,597.066,1980000,1532473,5091567,10088365
