run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,4,stod-copy,dom,direct,2824,4998,1078,2059,961,1982,4885,8959
1,4,fixed-ref,sax,direct,2307,4587,0,0,287,653,2611,5214
1,4,stod-ref,dom,direct,3596,7831,1361,2796,1258,2928,6207,15422
1,4,fixed-ref,dom,direct,3525,8591,430,1004,1224,2891,5169,16051
1,4,fixed-ref,sax,copy,2455,4790,0,0,328,652,2777,5431
2,4,stod-copy,dom,direct,3462,7611,1340,2732,1195,2713,5998,15130
2,4,fixed-ref,sax,direct,1953,3202,0,0,247,433,2206,3653
2,4,stod-ref,dom,direct,2750,4778,1040,1828,959,1793,4755,8647
2,4,fixed-ref,dom,direct,3196,6909,387,869,1106,2316,4693,12651
2,4,fixed-ref,sax,copy,1982,3681,0,0,263,522,2235,4178
3,4,stod-copy,dom,direct,2837,4969,1105,1822,991,1801,4951,9035
3,4,fixed-ref,sax,direct,1658,2933,0,0,203,410,1868,3303
3,4,stod-ref,dom,direct,2826,5242,1054,2007,989,1928,4877,9381
3,4,fixed-ref,dom,direct,2916,5017,353,690,1010,1870,4285,7721
3,4,fixed-ref,sax,copy,1906,3598,0,0,258,498,2153,4079
4,4,stod-copy,dom,direct,3072,5889,1193,2362,1071,2323,5348,11447
4,4,fixed-ref,sax,direct,2139,3736,0,0,265,514,2419,4239
4,4,stod-ref,dom,direct,3180,7694,1199,2172,1117,2544,5501,15103
4,4,fixed-ref,dom,direct,2817,4353,339,541,977,1503,4130,6637
4,4,fixed-ref,sax,copy,1749,3309,0,0,234,464,1974,3745
5,4,stod-copy,dom,direct,2514,4093,980,1531,873,1509,4364,7407
5,4,fixed-ref,sax,direct,1680,3154,0,0,225,418,1898,3552
5,4,stod-ref,dom,direct,2981,6028,1124,2248,1040,2222,5155,11186
5,4,fixed-ref,dom,direct,2858,5114,343,671,986,1905,4189,7776
5,4,fixed-ref,sax,copy,1909,3277,0,0,255,448,2145,3737
6,4,stod-copy,dom,direct,2927,5143,1130,2056,1023,1922,5082,9449
6,4,fixed-ref,sax,direct,1827,2938,0,0,229,394,2061,3325
6,4,stod-ref,dom,direct,2745,4759,1030,1993,966,1866,4746,8657
6,4,fixed-ref,dom,direct,2854,5394,347,824,990,2009,4188,8239
6,4,fixed-ref,sax,copy,1958,3225,0,0,246,408,2218,3643
7,4,stod-copy,dom,direct,2877,5204,1117,2130,1005,1967,4999,9400
7,4,fixed-ref,sax,direct,1924,3464,0,0,253,501,2172,3935
7,4,stod-ref,dom,direct,3545,8125,1339,2717,1238,2858,6134,18930
7,4,fixed-ref,dom,direct,3058,5368,368,719,1054,1978,4478,8163
7,4,fixed-ref,sax,copy,1801,3066,0,0,226,393,2035,3446
