run,variant,frames,decode_p50_ns,decode_p99_ns,level_arrays_p50_ns,level_arrays_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,direct-topic,19980,2069,7332,425,3924,82,1436,2196,9424
1,copy-topic,19980,2002,5814,399,3588,76,1297,2103,7419
2,direct-topic,19980,1970,5728,389,3573,75,1060,2063,6962
2,copy-topic,19980,2003,6080,411,3579,79,1253,2109,7683
3,direct-topic,19980,1973,30344,408,4015,79,1372,2082,30791
3,copy-topic,19980,1883,5447,386,3317,72,1081,1980,6691
4,direct-topic,19980,1914,5464,390,3400,72,1045,2006,6644
4,copy-topic,19980,1921,7168,394,3712,76,1194,2027,9226
5,direct-topic,19980,1940,6081,412,3389,75,1322,2058,7635
5,copy-topic,19980,1916,5541,394,3396,74,1246,2019,7174
6,direct-topic,19980,1921,6133,400,3464,74,1064,2020,7479
6,copy-topic,19980,2215,6932,436,3769,84,1547,2374,8689
7,direct-topic,19980,1933,5826,396,3483,73,1189,2026,7230
7,copy-topic,19980,2012,28539,417,3974,82,1544,2141,30288
8,direct-topic,19980,1883,5845,376,3440,73,1188,1982,7569
8,copy-topic,19980,1981,5715,406,3549,75,1211,2093,7147
9,direct-topic,19980,1882,5754,383,3439,74,1234,1980,7346
9,copy-topic,19980,1964,5954,383,3575,72,1136,2052,7661
10,direct-topic,19980,1912,6996,402,3579,75,1257,2016,9748
10,copy-topic,19980,2012,6336,411,3514,81,1509,2149,8501
11,direct-topic,19980,2163,8319,441,3911,83,1904,2314,11157
11,copy-topic,19980,2314,10872,466,4226,91,2067,2478,13515
12,direct-topic,19980,2730,10344,555,4740,100,2413,2932,14018
12,copy-topic,19980,2518,10215,514,4662,99,1930,2681,12147
13,direct-topic,19980,2376,11602,504,4406,93,1879,2535,16482
13,copy-topic,19980,2495,16201,532,4745,96,2142,2690,21161
14,direct-topic,19980,2314,21584,478,4373,95,1924,2482,24126
14,copy-topic,19980,2197,6701,457,3934,89,1471,2333,8476
15,direct-topic,19980,2072,6383,431,3709,82,1349,2186,8062
15,copy-topic,19980,2284,10786,457,4023,89,1607,2458,15741
