run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,delta-mixed,1000,50000,1000,12,0,0,14373660,3.47859e+06,209,417,456,10010200000
2,delta-mixed,1000,50000,1000,12,0,0,9235348,5.41398e+06,141,246,309,10010200000
3,delta-mixed,1000,50000,1000,12,0,0,9916436,5.04213e+06,144,218,272,10010200000
4,delta-mixed,1000,50000,1000,12,0,0,12127817,4.12275e+06,149,316,332,10010200000
5,delta-mixed,1000,50000,1000,12,0,0,13503294,3.7028e+06,172,338,352,10010200000
6,delta-mixed,1000,50000,1000,12,0,0,14033539,3.56289e+06,211,294,333,10010200000
7,delta-mixed,1000,50000,1000,12,0,0,14244583,3.51011e+06,210,307,364,10010200000
