run,processed,seed,queue_capacity,warmup_events,latency_mode,backoff_mode,producer_cpu_requested,consumer_cpu_requested,producer_cpu_start,producer_cpu_end,consumer_cpu_start,consumer_cpu_end,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,352364361,5.67594e+06,176.182,1980000,641385,1067791,1638648
2,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,315696211,6.3352e+06,157.848,1980000,571199,1071429,1858559
3,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,313687731,6.37577e+06,156.844,1980000,588733,1022311,1650636
4,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,353664365,5.65508e+06,176.832,1980000,664021,1072803,1763462
5,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,360411043,5.54922e+06,180.206,1980000,674186,1199570,1774867
6,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,451169470,4.43292e+06,225.585,1980000,835874,1359537,2244760
7,2000000,42,4096,20000,pre-push,yield,0,2,0,0,2,2,450583807,4.43869e+06,225.292,1980000,822071,1420367,2087564
