run,mode,levels_per_side,iterations,warmup,updates_per_batch,cpu_start,cpu_end,elapsed_ns,batches_per_second,p50_ns,p95_ns,p99_ns,checksum
1,snapshot,500,1000,1000,1000,0,0,46294956,21600.6,41931,53154,143253,200201000
2,snapshot,500,1000,1000,1000,0,0,43510878,22982.8,41391,50706,64729,200201000
3,snapshot,500,1000,1000,1000,0,0,44521426,22461.1,42430,54898,66862,200201000
4,snapshot,500,1000,1000,1000,0,0,44843660,22299.7,42459,50657,60429,200201000
5,snapshot,500,1000,1000,1000,0,0,44592578,22425.3,42599,53818,64847,200201000
6,snapshot,500,1000,1000,1000,0,0,48901812,20449.1,43844,58123,134984,200201000
7,snapshot,500,1000,1000,1000,0,0,44892218,22275.6,42641,48692,76017,200201000
