run,processed,seed,queue_capacity,warmup_events,latency_mode,elapsed_ns,throughput_events_per_s,mean_ns_per_event,latency_samples,p50_ns,p95_ns,p99_ns
1,2000000,42,4096,20000,off,388370214,5.14973e+06,194.185,0,0,0,0
2,2000000,42,4096,20000,off,394422524,5.0707e+06,197.211,0,0,0,0
3,2000000,42,4096,20000,off,522838529,3.82527e+06,261.419,0,0,0,0
4,2000000,42,4096,20000,off,422274038,4.73626e+06,211.137,0,0,0,0
5,2000000,42,4096,20000,off,392530256,5.09515e+06,196.265,0,0,0,0
6,2000000,42,4096,20000,off,426383210,4.69062e+06,213.192,0,0,0,0
7,2000000,42,4096,20000,off,454683405,4.39867e+06,227.342,0,0,0,0
