run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
1,8,stod-copy,dom,direct,5107,11105,1869,3788,2021,4053,8993,23094
1,8,fixed-ref,sax,direct,3558,7026,0,0,515,1063,4075,8096
1,8,stod-ref,dom,direct,6451,13644,2272,4488,2535,5095,11251,28871
1,8,fixed-ref,dom,direct,6143,12736,634,1346,2408,4765,9170,23477
1,8,fixed-ref,sax,copy,3023,4851,0,0,434,732,3457,5578
2,8,stod-copy,dom,direct,5206,9965,1925,3309,2053,3795,9190,21823
2,8,fixed-ref,sax,direct,2797,4388,0,0,404,676,3203,5166
2,8,stod-ref,dom,direct,4292,8959,1530,2577,1708,3335,7531,17275
2,8,fixed-ref,dom,direct,4179,7586,433,807,1640,2935,6238,11920
2,8,fixed-ref,sax,copy,2911,5186,0,0,425,790,3340,6009
3,8,stod-copy,dom,direct,4473,7449,1647,2446,1763,3032,7888,14309
3,8,fixed-ref,sax,direct,2477,4291,0,0,356,691,2836,4968
3,8,stod-ref,dom,direct,4177,7832,1489,2235,1651,2989,7319,16877
3,8,fixed-ref,dom,direct,4152,6627,428,664,1617,2590,6201,10354
3,8,fixed-ref,sax,copy,2410,3970,0,0,352,630,2765,4652
4,8,stod-copy,dom,direct,4260,7404,1577,2448,1671,2946,7516,16097
4,8,fixed-ref,sax,direct,2553,4486,0,0,371,787,2926,5401
4,8,stod-ref,dom,direct,4509,7723,1623,2530,1761,3055,7903,14336
4,8,fixed-ref,dom,direct,4261,6937,438,701,1664,2709,6370,11000
4,8,fixed-ref,sax,copy,2470,3994,0,0,362,633,2834,4678
5,8,stod-copy,dom,direct,4228,7517,1557,2409,1661,2946,7448,15958
5,8,fixed-ref,sax,direct,2425,3972,0,0,351,638,2780,4732
5,8,stod-ref,dom,direct,5174,9273,1842,2743,2033,3502,9082,19798
5,8,fixed-ref,dom,direct,4477,7859,463,801,1761,3082,6689,12246
5,8,fixed-ref,sax,copy,2474,3399,0,0,361,485,2837,3899
6,8,stod-copy,dom,direct,4302,7885,1582,2551,1689,3040,7575,17305
6,8,fixed-ref,sax,direct,2413,3578,0,0,353,543,2767,4262
6,8,stod-ref,dom,direct,4174,8769,1489,2516,1649,3273,7315,17288
6,8,fixed-ref,dom,direct,4767,8364,494,898,1859,3227,7142,13703
6,8,fixed-ref,sax,copy,2830,4078,0,0,412,589,3246,4710
7,8,stod-copy,dom,direct,4470,8235,1661,2559,1776,3104,7922,17615
7,8,fixed-ref,sax,direct,2468,3877,0,0,358,586,2827,4512
7,8,stod-ref,dom,direct,4212,6838,1525,2107,1666,2743,7404,12682
7,8,fixed-ref,dom,direct,4361,8582,448,826,1698,3256,6512,15356
7,8,fixed-ref,sax,copy,2508,4029,0,0,363,608,2870,4701
8,8,stod-copy,dom,direct,4783,8332,1773,2640,1886,3345,8446,15691
8,8,fixed-ref,sax,direct,2616,4781,0,0,381,744,3001,5996
8,8,stod-ref,dom,direct,4352,7401,1547,2362,1721,2939,7624,15694
8,8,fixed-ref,dom,direct,4475,7936,474,798,1770,3138,6657,13324
8,8,fixed-ref,sax,copy,2785,4776,0,0,403,724,3192,5507
9,8,stod-copy,dom,direct,4410,7147,1637,2449,1741,2910,7797,13475
9,8,fixed-ref,sax,direct,2495,4812,0,0,368,706,2863,5532
9,8,stod-ref,dom,direct,4318,7455,1980,2915,1687,3005,7988,16314
9,8,fixed-ref,dom,direct,4198,6927,434,711,1642,2745,6277,10781
9,8,fixed-ref,sax,copy,2913,3992,0,0,418,561,3333,4559
10,8,stod-copy,dom,direct,4441,7422,1641,2397,1757,2992,7839,13948
