run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
10,8,fixed-ref,sax,direct,2483,4431,0,0,360,644,2843,5080
10,8,stod-ref,dom,direct,4211,6895,1495,2120,1664,2741,7372,12700
10,8,fixed-ref,dom,direct,4261,8411,441,1094,1676,3312,6372,15137
10,8,fixed-ref,sax,copy,2639,4433,0,0,382,629,3021,5062
11,8,stod-copy,dom,direct,4507,8396,1629,2722,1787,3317,7873,16554
11,8,fixed-ref,sax,direct,2801,4052,0,0,404,596,3203,4704
11,8,stod-ref,dom,direct,4398,7270,1562,2358,1734,2880,7700,12928
11,8,fixed-ref,dom,direct,4345,8109,451,838,1727,2991,6515,15846
11,8,fixed-ref,sax,copy,2680,4271,0,0,386,617,3070,5012
12,8,stod-copy,dom,direct,4450,8566,1649,2786,1768,3328,7869,18289
12,8,fixed-ref,sax,direct,2582,4368,0,0,373,656,2960,4995
12,8,stod-ref,dom,direct,4486,8107,1579,2474,1757,3090,7831,17323
12,8,fixed-ref,dom,direct,4171,7431,432,764,1636,2907,6243,12581
12,8,fixed-ref,sax,copy,2466,3974,0,0,355,582,2822,4546
13,8,stod-copy,dom,direct,4186,7172,1553,2313,1651,2793,7392,14037
13,8,fixed-ref,sax,direct,2476,4327,0,0,359,650,2836,5019
13,8,stod-ref,dom,direct,4293,7195,1530,2521,1693,2947,7523,13566
13,8,fixed-ref,dom,direct,4640,7137,473,765,1809,2821,6956,11455
13,8,fixed-ref,sax,copy,2690,3856,0,0,394,558,3087,4483
14,8,stod-copy,dom,direct,4499,8384,1675,3146,1774,3409,7962,16985
14,8,fixed-ref,sax,direct,2529,4326,0,0,362,649,2895,4962
14,8,stod-ref,dom,direct,4240,7182,1509,2303,1676,2863,7430,14260
14,8,fixed-ref,dom,direct,4335,7197,445,725,1691,2821,6477,11370
14,8,fixed-ref,sax,copy,2487,4067,0,0,362,585,2852,4660
15,8,stod-copy,dom,direct,4694,7726,1736,2497,1858,3090,8298,14438
15,8,fixed-ref,sax,direct,2556,4221,0,0,369,578,2927,4800
15,8,stod-ref,dom,direct,4208,9136,1499,2689,1668,3390,7379,17883
15,8,fixed-ref,dom,direct,4143,7591,428,736,1628,2942,6199,11796
15,8,fixed-ref,sax,copy,5875,11239,0,0,403,925,6279,11897
